Name,State,Median Household Income,90% CI Lower Bound,90% CI Upper Bound
Hempstead County,AR,33.136,29.959,36.313
Hot Spring County,AR,37.831,34.558,41.104
Howard County,AR,37.336,34.696,39.976
Independence County,AR,41.085,37.792,44.378
Izard County,AR,32.744,29.781,35.707
Jackson County,AR,32.427,29.323,35.531
Jefferson County,AR,35.927,32.559,39.295
Johnson County,AR,34.923,32.019,37.827
Lafayette County,AR,32.225,28.952,35.498
Lawrence County,AR,34.916,31.433,38.399
Lee County,AR,28.006,25.109,30.903
Lincoln County,AR,37.644,33.574,41.714
Little River County,AR,37.691,33.678,41.704
Logan County,AR,36.391,32.875,39.907
Lonoke County,AR,54.459,50.781,58.137
Madison County,AR,39.158,36.202,42.114
Marion County,AR,33.181,29.724,36.638
Miller County,AR,40.877,38.77,42.984
Mississippi County,AR,33.577,30.91,36.244
Monroe County,AR,30.682,27.567,33.797
Montgomery County,AR,34.597,30.991,38.203
Nevada County,AR,30.935,27.716,34.154
Newton County,AR,35.895,33.138,38.652
Ouachita County,AR,34.971,31.332,38.61
Perry County,AR,40.556,36.589,44.523
Phillips County,AR,28.171,25.323,31.019
Pike County,AR,36.893,33.477,40.309
Poinsett County,AR,35.851,33.392,38.31
Polk County,AR,33.127,29.973,36.281
Pope County,AR,39.909,36.685,43.133
Prairie County,AR,39.896,36.256,43.536
Pulaski County,AR,45.698,43.1,48.296
Randolph County,AR,37.761,35.038,40.484
St. Francis County,AR,30.489,27.676,33.302
Saline County,AR,55.915,51.847,59.983
Scott County,AR,33.202,30.371,36.033
Searcy County,AR,31.765,29.66,33.87
Sebastian County,AR,39.907,37.181,42.633
Sevier County,AR,37.014,33.611,40.417
Sharp County,AR,32.101,29.002,35.2
Stone County,AR,30.01,27.372,32.648
Union County,AR,40.841,37.117,44.565
Van Buren County,AR,32.975,30.386,35.564
Washington County,AR,45.589,42.916,48.262
White County,AR,42.044,38.176,45.912
Woodruff County,AR,29.969,27.101,32.837
Yell County,AR,37.08,33.906,40.254
California,AR,61.927,61.689,62.165
Alameda County,CA,76.996,75.788,78.204
Alpine County,CA,53.003,48.227,57.779
Amador County,CA,54.61,49.602,59.618
