Name,State,Median Household Income,90% CI Lower Bound,90% CI Upper Bound
Jersey County,IL,52.493,47.136,57.85
Jo Daviess County,IL,51.282,47.771,54.793
Johnson County,IL,45.773,41.358,50.188
Kane County,IL,72.131,69.566,74.696
Kankakee County,IL,56.326,53.488,59.164
Kendall County,IL,90.64,84.332,96.948
Knox County,IL,38.992,36.413,41.571
Lake County,IL,78.001,75.33,80.672
La Salle County,IL,51.205,47.619,54.791
Lawrence County,IL,41.759,37.8,45.718
Lee County,IL,54.472,51.421,57.523
Livingston County,IL,53.918,50.432,57.404
Logan County,IL,54.353,50.167,58.539
McDonough County,IL,42.684,38.935,46.433
McHenry County,IL,76.856,73.839,79.873
McLean County,IL,60.46,56.601,64.319
Macon County,IL,47.575,44.736,50.414
Macoupin County,IL,48.544,45.448,51.64
Madison County,IL,54.375,51.642,57.108
Marion County,IL,44.289,40.997,47.581
Marshall County,IL,53.732,48.488,58.976
Mason County,IL,46.878,42.641,51.115
Massac County,IL,40.59,36.552,44.628
Menard County,IL,61.388,55.428,67.348
Mercer County,IL,54.916,50.876,58.956
Monroe County,IL,73.684,68.057,79.311
Montgomery County,IL,45.288,41.003,49.573
Morgan County,IL,46.406,42.453,50.359
Moultrie County,IL,52.79,48.591,56.989
Ogle County,IL,57.126,52.823,61.429
Peoria County,IL,52.448,50.287,54.609
Perry County,IL,42.032,37.948,46.116
Piatt County,IL,65.971,59.575,72.367
Pike County,IL,39.005,36.077,41.933
Pope County,IL,40.722,36.347,45.097
Pulaski County,IL,33.943,30.359,37.527
Putnam County,IL,62.024,56.11,67.938
Randolph County,IL,47.862,43.65,52.074
Richland County,IL,43.396,39.58,47.212
Rock Island County,IL,48.024,45.697,50.351
St. Clair County,IL,50.155,47.2,53.11
Saline County,IL,38.329,35.176,41.482
Sangamon County,IL,55.371,52.707,58.035
Schuyler County,IL,47.092,42.468,51.716
Scott County,IL,51.584,46.178,56.99
Shelby County,IL,48.994,44.75,53.238
Stark County,IL,50.219,44.964,55.474
Stephenson County,IL,48.569,45.158,51.98
Tazewell County,IL,60.49,57.956,63.024
Union County,IL,40.957,36.987,44.927
Vermilion County,IL,42.036,39.421,44.651
Wabash County,IL,49.385,45.116,53.654
Warren County,IL,44.18,40.571,47.789
Washington County,IL,54.683,49.827,59.539
Wayne County,IL,46.839,44.26,49.418
White County,IL,46.927,42.712,51.142
Whiteside County,IL,49.895,47.222,52.568
Will County,IL,75.176,72.839,77.513
Williamson County,IL,46.322,42.6,50.044
Winnebago County,IL,47.708,45.431,49.985
Woodford County,IL,70.127,64.303,75.951
Indiana,IL,49.384,48.906,49.862
Adams County,IN,50.172,47.285,53.059
Allen County,IN,48.651,47.044,50.258
Bartholomew County,IN,54.101,50.726,57.476
Benton County,IN,46.196,41.647,50.745
Blackford County,IN,39.563,36.061,43.065
Boone County,IN,68.352,63.408,73.296
Brown County,IN,52.582,47.641,57.523
Carroll County,IN,55.318,51.758,58.878
Cass County,IN,44.43,40.664,48.196
Clark County,IN,52.05,49.649,54.451
Clay County,IN,44.385,40.034,48.736
Clinton County,IN,49.945,45.947,53.943
Crawford County,IN,40.657,37.412,43.902
Daviess County,IN,47.67,44.14,51.2
Dearborn County,IN,59.28,54.041,64.519
Decatur County,IN,50.258,45.674,54.842
De Kalb County,IN,51.911,49.614,54.208
Delaware County,IN,39.449,36.898,42
Dubois County,IN,53.211,49.647,56.775
Elkhart County,IN,50.192,48.036,52.348
Fayette County,IN,40.122,36.324,43.92
Floyd County,IN,53.186,50.411,55.961
Fountain County,IN,45.168,40.907,49.429
Franklin County,IN,54.086,49.318,58.854
Fulton County,IN,44.762,41.863,47.661
Gibson County,IN,46.466,42.451,50.481
Grant County,IN,40.234,37.508,42.96
Greene County,IN,41.077,37.707,44.447
Hamilton County,IN,89.861,85.663,94.059
Hancock County,IN,68.334,64.418,72.25
Harrison County,IN,56.787,52.989,60.585
Hendricks County,IN,70.358,64.698,76.018
Henry County,IN,41.955,38.955,44.955
Howard County,IN,47.433,43.852,51.014
Huntington County,IN,49.832,46.791,52.873
Jackson County,IN,48.368,44.212,52.524
Jasper County,IN,55.19,50.78,59.6
Jay County,IN,38.663,35.895,41.431
Jefferson County,IN,45.964,42.63,49.298
Jennings County,IN,43.783,39.846,47.72
Johnson County,IN,58.833,54.386,63.28
Knox County,IN,44.077,40.696,47.458
Kosciusko County,IN,54.068,51.662,56.474
Lagrange County,IN,52.003,48.868,55.138
Lake County,IN,50.774,49.451,52.097
La Porte County,IN,46.243,43.65,48.836
Lawrence County,IN,45.232,42.007,48.457
Madison County,IN,44.73,42.688,46.772
Marion County,IN,42.7,41.682,43.718
Marshall County,IN,52.508,48.847,56.169
Martin County,IN,48.381,43.328,53.434
Miami County,IN,41.065,38.135,43.995
Monroe County,IN,43.841,41.272,46.41
Montgomery County,IN,46.945,42.604,51.286
Morgan County,IN,54.849,50.763,58.935
Newton County,IN,51.285,47.239,55.331
Noble County,IN,50.997,46.551,55.443
Ohio County,IN,51.403,46.088,56.718
Orange County,IN,39.572,35.725,43.419
Owen County,IN,46.001,42.22,49.782
Parke County,IN,42.056,37.793,46.319
Perry County,IN,44.623,40.92,48.326
Pike County,IN,47.217,42.486,51.948
Porter County,IN,63.03,59.114,66.946
Posey County,IN,59.975,54.485,65.465
Pulaski County,IN,43.77,39.904,47.636
Putnam County,IN,49.467,45.508,53.426
Randolph County,IN,41.577,37.961,45.193
Ripley County,IN,52.491,48.202,56.78
Rush County,IN,47.418,42.371,52.465
St. Joseph County,IN,46.388,44.34,48.436
Scott County,IN,41.649,37.831,45.467
Shelby County,IN,54.831,51.365,58.297
Spencer County,IN,54.468,49.422,59.514
Starke County,IN,43.74,40.815,46.665
Steuben County,IN,50.078,46.851,53.305
Sullivan County,IN,43.933,39.756,48.11
Switzerland County,IN,47.606,43.808,51.404
Tippecanoe County,IN,46.276,43.974,48.578
Tipton County,IN,55.008,49.983,60.033
Union County,IN,47.41,42.643,52.177
Vanderburgh County,IN,42.622,40.688,44.556
Vermillion County,IN,44.388,41.667,47.109
Vigo County,IN,41.26,39.272,43.248
Wabash County,IN,45.151,41.494,48.808
Warren County,IN,55.925,50.482,61.368
Warrick County,IN,65.793,60.456,71.13
Washington County,IN,43.573,40.335,46.811
Wayne County,IN,40.929,39.068,42.79
Wells County,IN,51.182,47.073,55.291
White County,IN,50.731,47.384,54.078
Whitley County,IN,59.266,56.923,61.609
Iowa,IN,53.816,53.087,54.545
Adair County,IA,48.216,44.519,51.913
Adams County,IA,51.929,49.405,54.453
Allamakee County,IA,45.229,41.009,49.449
Appanoose County,IA,40.422,37.768,43.076
Audubon County,IA,50.014,44.992,55.036
Benton County,IA,61.931,57.713,66.149
Black Hawk County,IA,51.331,48.926,53.736
Boone County,IA,54.186,49.832,58.54
Bremer County,IA,62.438,57.396,67.48
Buchanan County,IA,55.781,50.642,60.92
Buena Vista County,IA,50.719,47.206,54.232
Butler County,IA,52.273,47.976,56.57
Calhoun County,IA,49.456,44.707,54.205
Carroll County,IA,52.367,47.335,57.399
Cass County,IA,46.159,42.561,49.757
Cedar County,IA,61.423,57.974,64.872
Cerro Gordo County,IA,49.569,45.427,53.711
Cherokee County,IA,52.894,47.745,58.043
Chickasaw County,IA,50.788,47.051,54.525
Clarke County,IA,45.413,40.817,50.009
Clay County,IA,51.514,46.365,56.663
Clayton County,IA,49.018,45.596,52.44
Clinton County,IA,48.528,44.082,52.974
Crawford County,IA,50.37,47.182,53.558
Dallas County,IA,79.173,73.543,84.803
Davis County,IA,46.75,42.603,50.897
Decatur County,IA,36.742,32.902,40.582
Delaware County,IA,55.958,50.285,61.631
Des Moines County,IA,45.292,41.835,48.749
Dickinson County,IA,56.551,52.618,60.484
Dubuque County,IA,55.32,51.847,58.793
Emmet County,IA,47.342,42.691,51.993
Fayette County,IA,45.522,42.384,48.66
Floyd County,IA,48.292,43.306,53.278
Franklin County,IA,51.045,46.508,55.582
Fremont County,IA,54.154,48.876,59.432
Greene County,IA,49.125,44.49,53.76
Grundy County,IA,61.215,55.567,66.863
Guthrie County,IA,49.507,44.957,54.057
Hamilton County,IA,53.691,50.487,56.895
Hancock County,IA,57.682,53.658,61.706
Hardin County,IA,53.277,49.638,56.916
Harrison County,IA,52.824,48.266,57.382
Henry County,IA,50.347,46.117,54.577
Howard County,IA,49.837,45.556,54.118
Humboldt County,IA,49.696,44.672,54.72
Ida County,IA,53.905,48.815,58.995
Iowa County,IA,58.234,52.935,63.533
Jackson County,IA,50.299,46.993,53.605
Jasper County,IA,52.75,48.464,57.036
Jefferson County,IA,41.094,36.776,45.412
Johnson County,IA,59.946,55.972,63.92
Jones County,IA,51.558,47.573,55.543
Keokuk County,IA,48.316,43.514,53.118
Kossuth County,IA,52.967,47.903,58.031
Lee County,IA,44.719,40.825,48.613
Linn County,IA,62.7,60.108,65.292
Louisa County,IA,50.924,46.947,54.901
Lucas County,IA,42.582,38.61,46.554
Lyon County,IA,61.75,57.017,66.483
Madison County,IA,62.23,57.291,67.169
Mahaska County,IA,48.584,44.316,52.852
Marion County,IA,57.046,52.615,61.477
Marshall County,IA,50.244,47.752,52.736
Mills County,IA,59.399,54.7,64.098
Mitchell County,IA,52.616,47.682,57.55
Monona County,IA,43.178,38.99,47.366
Monroe County,IA,44.705,40.715,48.695
Montgomery County,IA,42.046,37.928,46.164
Muscatine County,IA,54.441,50.805,58.077
O'Brien County,IA,55.968,52.137,59.799
Osceola County,IA,51.423,46.116,56.73
Page County,IA,46.927,42.571,51.283
Palo Alto County,IA,50.6,45.601,55.599
Plymouth County,IA,62.745,56.664,68.826
Pocahontas County,IA,49.625,45.131,54.119
Polk County,IA,61.028,59.337,62.719
Pottawattamie County,IA,51.947,47.943,55.951
Poweshiek County,IA,52.791,47.708,57.874
Ringgold County,IA,42.854,38.85,46.858
Sac County,IA,49.513,47.176,51.85
Scott County,IA,54.959,52.796,57.122
Shelby County,IA,55.637,49.922,61.352
Sioux County,IA,60.205,56.981,63.429
Story County,IA,52.128,47.492,56.764
Tama County,IA,54.957,51.909,58.005
Taylor County,IA,46.501,42.228,50.774
Union County,IA,44.905,41.841,47.969
Van Buren County,IA,42.555,38.411,46.699
Wapello County,IA,42.414,39.178,45.65
Warren County,IA,67.342,62.602,72.082
Washington County,IA,56.243,52.392,60.094
Wayne County,IA,42.006,38.169,45.843
Webster County,IA,43.49,40.577,46.403
Winnebago County,IA,50.703,46.152,55.254
Winneshiek County,IA,55.984,52.028,59.94
Woodbury County,IA,45.641,42.823,48.459
Worth County,IA,50.286,45.364,55.208
Wright County,IA,50.108,44.94,55.276
Kansas,IA,52.392,51.712,53.072
Allen County,KS,39.196,35.663,42.729
Anderson County,KS,45.368,40.732,50.004
Atchison County,KS,44.199,39.663,48.735
Barber County,KS,51.676,46.516,56.836
Barton County,KS,46.942,42.49,51.394
Bourbon County,KS,38.43,34.538,42.322
Brown County,KS,45.781,42.026,49.536
Butler County,KS,60.123,55.66,64.586
Chase County,KS,47.025,41.986,52.064
Chautauqua County,KS,39.12,35.082,43.158
Cherokee County,KS,40.686,37.99,43.382
Cheyenne County,KS,41.797,37.642,45.952
Clark County,KS,47.65,42.576,52.724
Clay County,KS,53.131,48.918,57.344
Cloud County,KS,42.697,38.794,46.6
Coffey County,KS,55.705,50.037,61.373
Comanche County,KS,45.353,40.654,50.052
Cowley County,KS,45.18,41.483,48.877
Crawford County,KS,38.491,35.365,41.617
Decatur County,KS,41.434,37.167,45.701
Dickinson County,KS,47.493,43.163,51.823
Doniphan County,KS,47.599,42.877,52.321
Douglas County,KS,49.246,46.181,52.311
Edwards County,KS,49.256,45.554,52.958
Elk County,KS,36.471,32.803,40.139
Ellis County,KS,49.508,44.906,54.11
Ellsworth County,KS,46.961,42.209,51.713
Finney County,KS,48.609,44.756,52.462
Ford County,KS,51.144,46.358,55.93
Franklin County,KS,50.745,47.076,54.414
Geary County,KS,41.193,38.359,44.027
Gove County,KS,50.886,47.686,54.086
Graham County,KS,45.341,40.576,50.106
Grant County,KS,60.279,55.456,65.102
Gray County,KS,58.543,53.025,64.061
Greeley County,KS,52.795,47.352,58.238
Greenwood County,KS,39.732,35.766,43.698
Hamilton County,KS,47.709,42.995,52.423
Harper County,KS,50.525,46.734,54.316
Harvey County,KS,55.074,50.212,59.936
Haskell County,KS,59.596,54.017,65.175
Hodgeman County,KS,52.394,47.098,57.69
Jackson County,KS,53.796,49.175,58.417
Jefferson County,KS,56.927,52.98,60.874
Jewell County,KS,44.101,39.911,48.291
Johnson County,KS,76.104,73.905,78.303
Kearny County,KS,53.484,48.498,58.47
Kingman County,KS,53.378,48.508,58.248
Kiowa County,KS,46.318,41.773,50.863
Labette County,KS,40.822,37.782,43.862
Lane County,KS,53.739,47.997,59.481
Leavenworth County,KS,65.549,61.607,69.491
Lincoln County,KS,44.896,40.379,49.413
Linn County,KS,44.52,39.901,49.139
Logan County,KS,49.852,44.586,55.118
Lyon County,KS,43.038,40.201,45.875
McPherson County,KS,57.878,53.577,62.179
Marion County,KS,47.723,43.195,52.251
Marshall County,KS,47.901,43.386,52.416
Meade County,KS,53.903,48.125,59.681
Miami County,KS,63.924,59.02,68.828
Mitchell County,KS,48.645,43.481,53.809
Montgomery County,KS,42.221,39.295,45.147
Morris County,KS,44.774,40.34,49.208
Morton County,KS,55.378,49.473,61.283
Nemaha County,KS,54.149,49.133,59.165
Neosho County,KS,41.527,38.49,44.564
Ness County,KS,51.923,46.581,57.265
Norton County,KS,44.846,40.404,49.288
Osage County,KS,52.749,49.794,55.704
Osborne County,KS,38.848,35.791,41.905
Ottawa County,KS,52.744,47.518,57.97
Pawnee County,KS,47.351,42.297,52.405
Phillips County,KS,45.856,41.534,50.178
Pottawatomie County,KS,65.373,62.649,68.097
Pratt County,KS,54.701,49.886,59.516
Rawlins County,KS,44.932,40.398,49.466
Reno County,KS,46.533,43.389,49.677
Republic County,KS,42.381,38.071,46.691
Rice County,KS,49.152,44.25,54.054
Riley County,KS,46.468,42.736,50.2
Rooks County,KS,48.383,45.192,51.574
Rush County,KS,43.083,38.745,47.421
Russell County,KS,45.443,41.923,48.963
Saline County,KS,48.46,46.508,50.412
Scott County,KS,56.032,50.226,61.838
Sedgwick County,KS,51.175,49.544,52.806
Seward County,KS,47.381,43.424,51.338
Shawnee County,KS,52.795,49.968,55.622
Sheridan County,KS,52.3,47.158,57.442
Sherman County,KS,43.1,38.77,47.43
Smith County,KS,41.303,37.287,45.319
Stafford County,KS,45.945,41.525,50.365
Stanton County,KS,56.591,50.49,62.692
Stevens County,KS,59.773,53.657,65.889
Sumner County,KS,52.476,47.869,57.083
Thomas County,KS,50.639,45.268,56.01
Trego County,KS,46.859,42.384,51.334
Wabaunsee County,KS,59.16,53.368,64.952
Wallace County,KS,49.109,43.849,54.369
Washington County,KS,43.264,39.94,46.588
Wichita County,KS,53.447,47.744,59.15
Wilson County,KS,39.764,36.022,43.506
Woodson County,KS,35.502,31.865,39.139
Wyandotte County,KS,37.087,35.495,38.679
Kentucky,KS,42.914,42.243,43.585
Adair County,KY,31.558,28.365,34.751
Allen County,KY,39.801,35.745,43.857
Anderson County,KY,54.331,49.557,59.105
Ballard County,KY,44.732,40.9,48.564
Barren County,KY,37.666,35.141,40.191
Bath County,KY,34.126,30.979,37.273
Bell County,KY,24.868,22.522,27.214
Boone County,KY,66.939,62.353,71.525
Bourbon County,KY,42.812,39.481,46.143
Boyd County,KY,40.224,37.466,42.982
Boyle County,KY,41.538,37.818,45.258
Bracken County,KY,41.91,37.565,46.255
Breathitt County,KY,28.647,25.943,31.351
Breckinridge County,KY,41.547,37.581,45.513
Bullitt County,KY,54.924,51.662,58.186
Butler County,KY,35.219,32.926,37.512
Caldwell County,KY,42.64,39.208,46.072
Calloway County,KY,37.705,34.805,40.605
Campbell County,KY,52.349,48.664,56.034
Carlisle County,KY,40.701,37.043,44.359
Carroll County,KY,43.615,39.028,48.202
Carter County,KY,34.991,32.222,37.76
Casey County,KY,29.344,26.331,32.357
Christian County,KY,36.736,34.427,39.045
Clark County,KY,49.012,45.83,52.194
Clay County,KY,25.215,22.832,27.598
Clinton County,KY,28.341,25.335,31.347
Crittenden County,KY,38.338,34.371,42.305
Cumberland County,KY,29.067,26.024,32.11
Daviess County,KY,43.39,40.519,46.261
Edmonson County,KY,38.544,35.105,41.983
Elliott County,KY,30.556,27.524,33.588
Estill County,KY,30.333,27.145,33.521
Fayette County,KY,48.552,45.941,51.163
Fleming County,KY,35.878,32.291,39.465
Floyd County,KY,30.127,27.456,32.798
Franklin County,KY,49.4,45.376,53.424
Fulton County,KY,30.671,27.399,33.943
Gallatin County,KY,45.483,41.404,49.562
Garrard County,KY,43.647,39.998,47.296
Grant County,KY,46.226,42.209,50.243
Graves County,KY,39.247,37.151,41.343
Grayson County,KY,35.726,32.18,39.272
Green County,KY,33.64,30.073,37.207
Greenup County,KY,42.452,39.829,45.075
Hancock County,KY,50.358,45.283,55.433
Hardin County,KY,50.407,46.978,53.836
Harlan County,KY,26.351,24.004,28.698
Harrison County,KY,41.406,37.57,45.242
Hart County,KY,38.038,35.465,40.611
Henderson County,KY,43.04,39.721,46.359
Henry County,KY,43.799,39.791,47.807
Hickman County,KY,41.588,37.204,45.972
Hopkins County,KY,42.477,39.695,45.259
Jackson County,KY,29.09,26.113,32.067
Jefferson County,KY,48.264,46.792,49.736
Jessamine County,KY,51.227,47.049,55.405
Johnson County,KY,34.271,30.792,37.75
Kenton County,KY,54.728,51.029,58.427
Knott County,KY,27.709,24.991,30.427
Knox County,KY,26.048,23.747,28.349
Larue County,KY,40.312,36.301,44.323
Laurel County,KY,34.678,31.744,37.612
Lawrence County,KY,32.835,29.536,36.134
Lee County,KY,25.473,22.908,28.038
Leslie County,KY,27.777,24.815,30.739
Letcher County,KY,28.574,25.976,31.172
Lewis County,KY,30.217,27.018,33.416
Lincoln County,KY,35.368,32.008,38.728
Livingston County,KY,42.892,38.391,47.393
Logan County,KY,41.15,38.052,44.248
Lyon County,KY,43.067,39.324,46.81
McCracken County,KY,41.216,37.433,44.999
McCreary County,KY,24.265,21.704,26.826
McLean County,KY,42.288,38.153,46.423
Madison County,KY,44.358,40.358,48.358
Magoffin County,KY,29.421,26.294,32.548
Marion County,KY,39.089,35.073,43.105
Marshall County,KY,45.596,41.679,49.513
Martin County,KY,27.484,24.519,30.449
Mason County,KY,40.26,36.05,44.47
Meade County,KY,52.377,48.392,56.362
Menifee County,KY,30.828,27.618,34.038
Mercer County,KY,43.945,39.969,47.921
Metcalfe County,KY,30.46,27.362,33.558
Monroe County,KY,30.172,27.098,33.246
Montgomery County,KY,41.139,36.899,45.379
Morgan County,KY,30.872,27.662,34.082
Muhlenberg County,KY,38.916,35.702,42.13
Nelson County,KY,54.54,51.405,57.675
Nicholas County,KY,37.061,33.147,40.975
Ohio County,KY,38.261,34.643,41.879
Oldham County,KY,92.097,87.722,96.472
Owen County,KY,43.626,39.41,47.842
Owsley County,KY,23.047,20.554,25.54
Pendleton County,KY,47.023,42.222,51.824
Perry County,KY,31.265,28.009,34.521
Pike County,KY,32.666,30.344,34.988
Powell County,KY,32.783,29.448,36.118
Pulaski County,KY,32.767,30.55,34.984
Robertson County,KY,37.281,33.267,41.295
Rockcastle County,KY,33.789,30.65,36.928
Rowan County,KY,37.287,33.544,41.03
Russell County,KY,33.623,31.411,35.835
Scott County,KY,61.989,57.808,66.17
Shelby County,KY,57.447,52.865,62.029
Simpson County,KY,45.269,41.06,49.478
Spencer County,KY,67.437,60.6,74.274
Taylor County,KY,34.633,31.156,38.11
Todd County,KY,40.002,35.84,44.164
Trigg County,KY,44.676,40.398,48.954
Trimble County,KY,46.708,41.732,51.684
Union County,KY,44.119,39.965,48.273
Warren County,KY,48.925,46.093,51.757
Washington County,KY,39.983,35.868,44.098
Wayne County,KY,30.619,28.401,32.837
Webster County,KY,43.024,38.913,47.135
Whitley County,KY,31.086,28.369,33.803
Wolfe County,KY,25.768,23.04,28.496
Woodford County,KY,57.067,52.462,61.672
Louisiana,KY,44.68,43.971,45.389
Acadia Parish,LA,40.269,36.378,44.16
Allen Parish,LA,36.852,34.825,38.879
Ascension Parish,LA,67.299,62.671,71.927
Assumption Parish,LA,46.317,42.592,50.042
Avoyelles Parish,LA,34.022,30.779,37.265
Beauregard Parish,LA,43.918,39.865,47.971
Bienville Parish,LA,33.134,29.999,36.269
Bossier Parish,LA,51.138,48.439,53.837
Caddo Parish,LA,39.812,36.936,42.688
Calcasieu Parish,LA,45.979,43.355,48.603
Caldwell Parish,LA,36.35,32.6,40.1
Cameron Parish,LA,59.3,55.359,63.241
Catahoula Parish,LA,34.116,30.742,37.49
Claiborne Parish,LA,35.385,31.871,38.899
Concordia Parish,LA,31.835,28.573,35.097
De Soto Parish,LA,40.642,37.62,43.664
East Baton Rouge Parish,LA,46.831,44.52,49.142
East Carroll Parish,LA,25.402,22.922,27.882
East Feliciana Parish,LA,41.651,37.428,45.874
Evangeline Parish,LA,32.615,29.494,35.736
Franklin Parish,LA,32.318,29.18,35.456
Grant Parish,LA,40.668,36.71,44.626
Iberia Parish,LA,45.226,42.503,47.949
Iberville Parish,LA,47.377,44.13,50.624
Jackson Parish,LA,37.13,33.219,41.041
Jefferson Parish,LA,47.024,45.245,48.803
Jefferson Davis Parish,LA,37.968,34.664,41.272
Lafayette Parish,LA,51.34,49.439,53.241
Lafourche Parish,LA,47.382,43.328,51.436
La Salle Parish,LA,44.139,39.431,48.847
Lincoln Parish,LA,32.889,30.777,35.001
Livingston Parish,LA,58.818,55.134,62.502
Madison Parish,LA,26.732,23.998,29.466
Morehouse Parish,LA,30.636,28.099,33.173
Natchitoches Parish,LA,34.522,31.117,37.927
Orleans Parish,LA,35.468,33.961,36.975
Ouachita Parish,LA,40.877,38.673,43.081
Plaquemines Parish,LA,51.304,46.315,56.293
Pointe Coupee Parish,LA,44.469,40.287,48.651
Rapides Parish,LA,40.406,37.704,43.108
Red River Parish,LA,33.322,29.842,36.802
Richland Parish,LA,36.666,33.773,39.559
Sabine Parish,LA,39.561,35.777,43.345
St. Bernard Parish,LA,45.615,43.076,48.154
St. Charles Parish,LA,60.751,55.245,66.257
St. Helena Parish,LA,35.004,31.366,38.642
St. James Parish,LA,47.477,43.084,51.87
St. John the Baptist Parish,LA,47.225,43.54,50.91
St. Landry Parish,LA,32.683,29.524,35.842
St. Martin Parish,LA,46.713,43.457,49.969
St. Mary Parish,LA,42.075,38.81,45.34
St. Tammany Parish,LA,63.441,59.998,66.884
Tangipahoa Parish,LA,39.927,36.949,42.905
Tensas Parish,LA,27.522,24.585,30.459
Terrebonne Parish,LA,49.044,45.06,53.028
Union Parish,LA,38.998,35.137,42.859
Vermilion Parish,LA,45.331,41.397,49.265
Vernon Parish,LA,46.682,44.685,48.679
Washington Parish,LA,29.749,26.96,32.538
Webster Parish,LA,36.003,32.666,39.34
West Baton Rouge Parish,LA,51.55,46.535,56.565
West Carroll Parish,LA,33.959,30.401,37.517
West Feliciana Parish,LA,53.679,48.045,59.313
Winn Parish,LA,36.644,32.744,40.544
Maine,LA,49.381,48.366,50.396
Androscoggin County,ME,46.701,43.816,49.586
Aroostook County,ME,36.066,34.092,38.04
Cumberland County,ME,61.436,59.325,63.547
Franklin County,ME,41.035,37.899,44.171
Hancock County,ME,45.807,42.883,48.731
Kennebec County,ME,45.556,42.074,49.038
Knox County,ME,50.002,47.164,52.84
Lincoln County,ME,47.905,44.25,51.56
Oxford County,ME,40.12,36.871,43.369
Penobscot County,ME,42.728,40.211,45.245
Piscataquis County,ME,36.994,34.437,39.551
Sagadahoc County,ME,55.63,50.699,60.561
Somerset County,ME,39.001,35.891,42.111
Waldo County,ME,46.598,44.204,48.992
Washington County,ME,38.057,35.9,40.214
York County,ME,55.482,52.858,58.106
Maryland,ME,73.851,73.027,74.675
Allegany County,MD,39.808,37.428,42.188
Anne Arundel County,MD,86.654,84.007,89.301
Baltimore County,MD,67.766,65.505,70.027
Calvert County,MD,92.446,86.195,98.697
Caroline County,MD,49.573,46.577,52.569
Carroll County,MD,84.5,81.375,87.625
Cecil County,MD,62.198,59.01,65.386
Charles County,MD,86.703,82.327,91.079
Dorchester County,MD,42.279,38.187,46.371
Frederick County,MD,83.698,80.759,86.637
Garrett County,MD,47.441,44.532,50.35
Harford County,MD,79.403,76.922,81.884
Howard County,MD,106.871,101.405,112.337
Kent County,MD,53.288,48.364,58.212
Montgomery County,MD,97.279,95.056,99.502
Prince George's County,MD,71.904,70.457,73.351
Queen Anne's County,MD,80.65,75.363,85.937
St. Mary's County,MD,84.686,80.795,88.577
Somerset County,MD,38.376,35.418,41.334
Talbot County,MD,54.836,50.528,59.144
Washington County,MD,54.606,51.653,57.559
Wicomico County,MD,51.927,49.693,54.161
Worcester County,MD,55.691,52.438,58.944
Baltimore city,MD,41.895,40.097,43.693
Massachusetts,MD,69.2,68.303,70.097
Barnstable County,MA,64.15,61.187,67.113
Berkshire County,MA,49.89,46.94,52.84
Bristol County,MA,57.732,55.656,59.808
Dukes County,MA,61.259,54.94,67.578
Essex County,MA,70.074,68.522,71.626
Franklin County,MA,53.953,50.412,57.494
Hampden County,MA,49.072,47.009,51.135
Hampshire County,MA,57.737,53.688,61.786
Middlesex County,MA,84.026,81.707,86.345
Nantucket County,MA,82.596,75.718,89.474
Norfolk County,MA,90.039,87.658,92.42
Plymouth County,MA,74.576,72.34,76.812
Suffolk County,MA,54.28,52.553,56.007
Worcester County,MA,65.217,63.662,66.772
Michigan,MA,49.755,49.373,50.137
Alcona County,MI,36.377,33.824,38.93
Alger County,MI,45.308,41.564,49.052
Allegan County,MI,54.232,50.699,57.765
Alpena County,MI,38.121,35.032,41.21
Antrim County,MI,45.743,42.747,48.739
Arenac County,MI,36.46,33.314,39.606
Baraga County,MI,41.624,37.923,45.325
Barry County,MI,57.235,53.47,61
Bay County,MI,46.061,43.483,48.639
Benzie County,MI,48.846,45.481,52.211
Berrien County,MI,44.145,42.011,46.279
Branch County,MI,46.371,43.61,49.132
Calhoun County,MI,45.916,43.791,48.041
Cass County,MI,48.03,45.236,50.824
Charlevoix County,MI,47.991,44.05,51.932
Cheboygan County,MI,41.93,39.165,44.695
Chippewa County,MI,38.989,36.359,41.619
Clare County,MI,34.655,32.248,37.062
Clinton County,MI,60.65,56.647,64.653
Crawford County,MI,41.101,37.652,44.55
Delta County,MI,43.338,39.883,46.793
Dickinson County,MI,45.174,41.665,48.683
Eaton County,MI,57.088,54.89,59.286
Emmet County,MI,50.191,46.448,53.934
Genesee County,MI,41.787,40.585,42.989
Gladwin County,MI,39.721,37.237,42.205
Gogebic County,MI,33.6,30.609,36.591
Grand Traverse County,MI,55.592,52.29,58.894
Gratiot County,MI,43.509,39.9,47.118
Hillsdale County,MI,44.78,41.515,48.045
Houghton County,MI,39.126,35.83,42.422
Huron County,MI,41.678,39.439,43.917
Ingham County,MI,45.84,44.125,47.555
Ionia County,MI,48.681,45.531,51.831
Iosco County,MI,37.122,34.908,39.336
Iron County,MI,35.961,32.96,38.962
Isabella County,MI,42.431,39.593,45.269
Jackson County,MI,46.67,43.293,50.047
Kalamazoo County,MI,46.283,43.742,48.824
Kalkaska County,MI,40.709,38.14,43.278
Kent County,MI,53.342,51.965,54.719
Keweenaw County,MI,40.411,36.083,44.739
Lake County,MI,30.99,28.264,33.716
Lapeer County,MI,51.51,49.268,53.752
Leelanau County,MI,60.622,56.547,64.697
Lenawee County,MI,48.194,44.829,51.559
Livingston County,MI,74.341,71.731,76.951
Luce County,MI,37.59,33.879,41.301
Mackinac County,MI,39.359,36.293,42.425
Macomb County,MI,54.865,53.426,56.304
Manistee County,MI,37.477,34.49,40.464
Marquette County,MI,44.735,42.147,47.323
