Orig Name,Name,State,Median Household Income,90% CI Lower Bound,90% CI Upper Bound
Navajo County,Navajo1,AZ,35.457,32.573,38.341
Pima County,Pima1,AZ,45.871,44.632,47.11
Pinal County,Pinal1,AZ,49.876,47.609,52.143
Santa Cruz County,Santa Cruz1,AZ,37.465,34.2,40.73
Yavapai County,Yavapai1,AZ,44.145,42.345,45.945
Yuma County,Yuma1,AZ,39.7,37.689,41.711
Arkansas,Arkansas1,AZ,41.335,40.702,41.968
Arkansas County,Arkansas2,AR,36.409,33.229,39.589
Ashley County,Ashley1,AR,36.176,33.241,39.111
Baxter County,Baxter1,AR,37.873,34.781,40.965
Benton County,Benton1,AR,57.408,53.991,60.825
Boone County,Boone1,AR,39.779,36.673,42.885
Bradley County,Bradley1,AR,32.734,29.467,36.001
Calhoun County,Calhoun2,AR,39.493,35.341,43.645
Carroll County,Carroll1,AR,36.964,34.643,39.285
Chicot County,Chicot1,AR,29.541,26.434,32.648
Clark County,Clark1,AR,38.504,34.991,42.017
Clay County,Clay2,AR,33.826,30.601,37.051
Cleburne County,Cleburne2,AR,40.555,36.682,44.428
Cleveland County,Cleveland1,AR,43.201,38.897,47.505
Columbia County,Columbia1,AR,37.495,33.872,41.118
Conway County,Conway1,AR,42.348,38.416,46.28
Craighead County,Craighead1,AR,42.851,39.985,45.717
Crawford County,Crawford1,AR,43.466,40.587,46.345
Crittenden County,Crittenden1,AR,35.455,32.203,38.707
Cross County,Cross1,AR,38.597,35.388,41.806
Dallas County,Dallas2,AR,34.018,30.756,37.28
Desha County,Desha1,AR,33.028,29.626,36.43
Drew County,Drew1,AR,36.801,33.282,40.32
Faulkner County,Faulkner1,AR,51.436,48.049,54.823
Franklin County,Franklin2,AR,40.404,37.833,42.975
Fulton County,Fulton1,AR,33.347,29.773,36.921
Garland County,Garland1,AR,40.621,38.177,43.065
Grant County,Grant1,AR,46.067,41.932,50.202
Greene County,Greene2,AR,42.572,38.863,46.281
Hempstead County,Hempstead1,AR,33.136,29.959,36.313
Hot Spring County,Hot Spring1,AR,37.831,34.558,41.104
Howard County,Howard1,AR,37.336,34.696,39.976
Independence County,Independence1,AR,41.085,37.792,44.378
Izard County,Izard1,AR,32.744,29.781,35.707
Jackson County,Jackson2,AR,32.427,29.323,35.531
Jefferson County,Jefferson2,AR,35.927,32.559,39.295
Johnson County,Johnson1,AR,34.923,32.019,37.827
Lafayette County,Lafayette1,AR,32.225,28.952,35.498
Lawrence County,Lawrence2,AR,34.916,31.433,38.399
Lee County,Lee2,AR,28.006,25.109,30.903
Lincoln County,Lincoln1,AR,37.644,33.574,41.714
Little River County,Little River1,AR,37.691,33.678,41.704
Logan County,Logan1,AR,36.391,32.875,39.907
Lonoke County,Lonoke1,AR,54.459,50.781,58.137
Madison County,Madison2,AR,39.158,36.202,42.114
Marion County,Marion2,AR,33.181,29.724,36.638
Miller County,Miller1,AR,40.877,38.77,42.984
Mississippi County,Mississippi1,AR,33.577,30.91,36.244
Monroe County,Monroe2,AR,30.682,27.567,33.797
