Orig Name,Name,State,Median Household Income,90% CI Lower Bound,90% CI Upper Bound
Lumpkin County,Lumpkin1,GA,44.653,40.463,48.843
McDuffie County,McDuffie1,GA,37.413,33.502,41.324
McIntosh County,McIntosh1,GA,37.603,34.004,41.202
Macon County,Macon2,GA,29.43,26.308,32.552
Madison County,Madison4,GA,45.557,42.038,49.076
Marion County,Marion4,GA,36.055,32.871,39.239
Meriwether County,Meriwether1,GA,37.243,33.65,40.836
Miller County,Miller2,GA,35.276,31.613,38.939
Mitchell County,Mitchell1,GA,32.711,29.782,35.64
Monroe County,Monroe4,GA,53.542,48.414,58.67
Montgomery County,Montgomery3,GA,36.436,32.823,40.049
Morgan County,Morgan3,GA,50.295,45.575,55.015
Murray County,Murray1,GA,40.976,37.394,44.558
Muscogee County,Muscogee1,GA,41.783,39.435,44.131
Newton County,Newton2,GA,48.058,44.261,51.855
Oconee County,Oconee1,GA,80.631,73.314,87.948
Oglethorpe County,Oglethorpe1,GA,46.84,42.906,50.774
Paulding County,Paulding1,GA,63.964,60.286,67.642
Peach County,Peach1,GA,40.55,36.593,44.507
Pickens County,Pickens2,GA,51.047,46.717,55.377
Pierce County,Pierce1,GA,40.526,36.662,44.39
Pike County,Pike3,GA,50.395,45.979,54.811
Polk County,Polk3,GA,38.847,35.078,42.616
Pulaski County,Pulaski2,GA,36.128,33.797,38.459
Putnam County,Putnam2,GA,42.125,37.79,46.46
Quitman County,Quitman1,GA,29.477,26.397,32.557
Rabun County,Rabun1,GA,38.449,34.5,42.398
Randolph County,Randolph3,GA,25.807,22.992,28.622
Richmond County,Richmond1,GA,36.012,34.15,37.874
Rockdale County,Rockdale1,GA,48.287,45.162,51.412
Schley County,Schley1,GA,39.601,35.494,43.708
Screven County,Screven1,GA,34.012,31.097,36.927
Seminole County,Seminole2,GA,37.672,34.724,40.62
Spalding County,Spalding1,GA,35.555,32.382,38.728
Stephens County,Stephens1,GA,36.87,33.184,40.556
Stewart County,Stewart1,GA,27.635,24.641,30.629
Sumter County,Sumter3,GA,34.017,31.056,36.978
Talbot County,Talbot1,GA,33.37,30.09,36.65
Taliaferro County,Taliaferro1,GA,28.716,25.804,31.628
Tattnall County,Tattnall1,GA,34.01,30.726,37.294
Taylor County,Taylor2,GA,32.815,29.578,36.052
Telfair County,Telfair1,GA,29.244,26.456,32.032
Terrell County,Terrell1,GA,34.604,31.648,37.56
Thomas County,Thomas1,GA,36.973,33.592,40.354
Tift County,Tift1,GA,36.303,33.095,39.511
Toombs County,Toombs1,GA,34.008,30.527,37.489
Towns County,Towns1,GA,39.453,35.648,43.258
Treutlen County,Treutlen1,GA,32.536,29.387,35.685
Troup County,Troup1,GA,41.141,38.025,44.257
Turner County,Turner1,GA,32.171,28.974,35.368
Twiggs County,Twiggs1,GA,36.886,32.893,40.879
Union County,Union3,GA,40.667,36.383,44.951
Upson County,Upson1,GA,34.867,32.423,37.311
Walker County,Walker2,GA,39.078,35.532,42.624
Walton County,Walton2,GA,52.082,49.31,54.854
Ware County,Ware1,GA,34.288,31.122,37.454
Warren County,Warren1,GA,31.623,28.25,34.996
Washington County,Washington5,GA,36.137,32.587,39.687
Wayne County,Wayne1,GA,41.093,37.526,44.66
Webster County,Webster1,GA,33.893,30.236,37.55
Wheeler County,Wheeler1,GA,30.264,27.015,33.513
White County,White2,GA,42.126,38.668,45.584
Whitfield County,Whitfield1,GA,43.731,39.594,47.868
Wilcox County,Wilcox2,GA,32.722,29.625,35.819
Wilkes County,Wilkes1,GA,32.042,29.081,35.003
Wilkinson County,Wilkinson1,GA,34.512,31.752,37.272
Worth County,Worth1,GA,40.382,36.894,43.87
Hawaii,Hawaii1,GA,69.549,68.236,70.862
Hawaii County,Hawaii2,HI,51.887,49.875,53.899
Honolulu County,Honolulu1,HI,73.985,72.489,75.481
Kauai County,Kauai1,HI,58.883,54.504,63.262
Maui County,Maui1,HI,64.916,62.156,67.676
Idaho,Idaho1,HI,47.572,46.434,48.71
Ada County,Ada1,ID,57.908,55.704,60.112
Adams County,Adams2,ID,40.777,37.121,44.433
Bannock County,Bannock1,ID,44.324,41.601,47.047
Bear Lake County,Bear Lake1,ID,45.504,41.211,49.797
Benewah County,Benewah1,ID,46.277,42.763,49.791
Bingham County,Bingham1,ID,47.292,44.178,50.406
Blaine County,Blaine1,ID,63.49,56.735,70.245
Boise County,Boise1,ID,50.874,45.56,56.188
Bonner County,Bonner1,ID,45.193,42.226,48.16
Bonneville County,Bonneville1,ID,51.44,47.799,55.081
Boundary County,Boundary1,ID,42.72,38.606,46.834
Butte County,Butte2,ID,42.907,38.301,47.513
Camas County,Camas1,ID,49.569,44.204,54.934
Canyon County,Canyon1,ID,43.489,41.318,45.66
Caribou County,Caribou1,ID,55.77,49.989,61.551
Cassia County,Cassia1,ID,45.078,40.624,49.532
Clark County,Clark2,ID,45.979,41.001,50.957
Clearwater County,Clearwater1,ID,41.304,37.393,45.215
Custer County,Custer2,ID,42.704,38.271,47.137
Elmore County,Elmore2,ID,45.049,41.375,48.723
Franklin County,Franklin5,ID,50.545,45.436,55.654
Fremont County,Fremont2,ID,45.578,42.663,48.493
Gem County,Gem1,ID,41.688,37.623,45.753
Gooding County,Gooding1,ID,44.669,40.173,49.165
Idaho County,Idaho2,ID,39.551,35.956,43.146
Jefferson County,Jefferson6,ID,52.428,49.237,55.619
Jerome County,Jerome1,ID,46.513,42.431,50.595
Kootenai County,Kootenai1,ID,49.061,46.287,51.835
Latah County,Latah1,ID,43.482,39.274,47.69
Lemhi County,Lemhi1,ID,37.869,34.101,41.637
Lewis County,Lewis1,ID,39.918,36.687,43.149
Lincoln County,Lincoln4,ID,44.046,40.155,47.937
Madison County,Madison5,ID,36.065,32.847,39.283
Minidoka County,Minidoka1,ID,46.332,42.054,50.61
Nez Perce County,Nez Perce1,ID,46.214,42.57,49.858
Oneida County,Oneida1,ID,46.503,41.578,51.428
Owyhee County,Owyhee1,ID,38.478,34.419,42.537
Payette County,Payette1,ID,45.533,41.477,49.589
Power County,Power1,ID,48.048,43.461,52.635
Shoshone County,Shoshone1,ID,36.577,33.167,39.987
Teton County,Teton1,ID,57.644,51.704,63.584
Twin Falls County,Twin Falls1,ID,44.236,40.957,47.515
Valley County,Valley1,ID,49.38,44.123,54.637
Washington County,Washington6,ID,35.955,32.225,39.685
Illinois,Illinois1,ID,57.458,57.035,57.881
Adams County,Adams3,IL,46.061,43.973,48.149
Alexander County,Alexander1,IL,30.699,27.413,33.985
Bond County,Bond1,IL,49.886,44.911,54.861
Boone County,Boone2,IL,58.792,53.534,64.05
Brown County,Brown1,IL,50.225,45.218,55.232
Bureau County,Bureau1,IL,52.138,48.893,55.383
Calhoun County,Calhoun5,IL,49.689,44.763,54.615
Carroll County,Carroll3,IL,50.75,46.649,54.851
Cass County,Cass1,IL,46.289,42.171,50.407
Champaign County,Champaign1,IL,47.966,45.052,50.88
Christian County,Christian1,IL,46.87,43,50.74
Clark County,Clark3,IL,50.645,46.348,54.942
Clay County,Clay5,IL,45.709,42.018,49.4
Clinton County,Clinton1,IL,60.556,57.351,63.761
Coles County,Coles1,IL,41.319,37.477,45.161
Cook County,Cook2,IL,55.058,54.418,55.698
Crawford County,Crawford3,IL,45.889,42.42,49.358
Cumberland County,Cumberland1,IL,49.567,44.596,54.538
DeKalb County,DeKalb3,IL,56.536,53.66,59.412
De Witt County,De Witt1,IL,55.193,50.68,59.706
Douglas County,Douglas3,IL,52.526,48.031,57.021
DuPage County,DuPage1,IL,80.037,78.333,81.741
Edgar County,Edgar1,IL,45.485,41.425,49.545
Edwards County,Edwards1,IL,46.894,42.541,51.247
Effingham County,Effingham2,IL,52.578,48.778,56.378
Fayette County,Fayette3,IL,41.268,38.095,44.441
Ford County,Ford1,IL,50.877,46.551,55.203
Franklin County,Franklin6,IL,37.758,35.109,40.407
Fulton County,Fulton3,IL,44.435,41.698,47.172
Gallatin County,Gallatin1,IL,41.045,36.674,45.416
Greene County,Greene4,IL,39.738,36.166,43.31
Grundy County,Grundy1,IL,70.092,64.22,75.964
Hamilton County,Hamilton2,IL,49.79,45.755,53.825
Hancock County,Hancock2,IL,48.767,44.176,53.358
Hardin County,Hardin1,IL,37.331,33.483,41.179
Henderson County,Henderson1,IL,50.999,46.158,55.84
Henry County,Henry3,IL,51.025,47.137,54.913
Iroquois County,Iroquois1,IL,46.895,43.622,50.168
Jackson County,Jackson6,IL,34.395,31.343,37.447
Jasper County,Jasper2,IL,52.919,48.826,57.012
Jefferson County,Jefferson7,IL,43.073,40.049,46.097
Jersey County,Jersey1,IL,52.493,47.136,57.85
Jo Daviess County,Jo Daviess1,IL,51.282,47.771,54.793
Johnson County,Johnson3,IL,45.773,41.358,50.188
Kane County,Kane1,IL,72.131,69.566,74.696
Kankakee County,Kankakee1,IL,56.326,53.488,59.164
Kendall County,Kendall1,IL,90.64,84.332,96.948
Knox County,Knox1,IL,38.992,36.413,41.571
Lake County,Lake4,IL,78.001,75.33,80.672
La Salle County,La Salle1,IL,51.205,47.619,54.791
Lawrence County,Lawrence3,IL,41.759,37.8,45.718
Lee County,Lee5,IL,54.472,51.421,57.523
Livingston County,Livingston1,IL,53.918,50.432,57.404
Logan County,Logan3,IL,54.353,50.167,58.539
McDonough County,McDonough1,IL,42.684,38.935,46.433
McHenry County,McHenry1,IL,76.856,73.839,79.873
McLean County,McLean1,IL,60.46,56.601,64.319
Macon County,Macon3,IL,47.575,44.736,50.414
Macoupin County,Macoupin1,IL,48.544,45.448,51.64
Madison County,Madison6,IL,54.375,51.642,57.108
Marion County,Marion5,IL,44.289,40.997,47.581
Marshall County,Marshall2,IL,53.732,48.488,58.976
Mason County,Mason1,IL,46.878,42.641,51.115
Massac County,Massac1,IL,40.59,36.552,44.628
Menard County,Menard1,IL,61.388,55.428,67.348
Mercer County,Mercer1,IL,54.916,50.876,58.956
Monroe County,Monroe5,IL,73.684,68.057,79.311
Montgomery County,Montgomery4,IL,45.288,41.003,49.573
Morgan County,Morgan4,IL,46.406,42.453,50.359
Moultrie County,Moultrie1,IL,52.79,48.591,56.989
Ogle County,Ogle1,IL,57.126,52.823,61.429
Peoria County,Peoria1,IL,52.448,50.287,54.609
Perry County,Perry3,IL,42.032,37.948,46.116
Piatt County,Piatt1,IL,65.971,59.575,72.367
Pike County,Pike4,IL,39.005,36.077,41.933
Pope County,Pope2,IL,40.722,36.347,45.097
Pulaski County,Pulaski3,IL,33.943,30.359,37.527
Putnam County,Putnam3,IL,62.024,56.11,67.938
Randolph County,Randolph4,IL,47.862,43.65,52.074
Richland County,Richland1,IL,43.396,39.58,47.212
Rock Island County,Rock Island1,IL,48.024,45.697,50.351
St. Clair County,St. Clair2,IL,50.155,47.2,53.11
Saline County,Saline2,IL,38.329,35.176,41.482
Sangamon County,Sangamon1,IL,55.371,52.707,58.035
Schuyler County,Schuyler1,IL,47.092,42.468,51.716
Scott County,Scott2,IL,51.584,46.178,56.99
Shelby County,Shelby2,IL,48.994,44.75,53.238
Stark County,Stark1,IL,50.219,44.964,55.474
Stephenson County,Stephenson1,IL,48.569,45.158,51.98
Tazewell County,Tazewell1,IL,60.49,57.956,63.024
Union County,Union4,IL,40.957,36.987,44.927
Vermilion County,Vermilion1,IL,42.036,39.421,44.651
Wabash County,Wabash1,IL,49.385,45.116,53.654
Warren County,Warren2,IL,44.18,40.571,47.789
Washington County,Washington7,IL,54.683,49.827,59.539
Wayne County,Wayne2,IL,46.839,44.26,49.418
White County,White3,IL,46.927,42.712,51.142
Whiteside County,Whiteside1,IL,49.895,47.222,52.568
Will County,Will1,IL,75.176,72.839,77.513
Williamson County,Williamson1,IL,46.322,42.6,50.044
Winnebago County,Winnebago1,IL,47.708,45.431,49.985
Woodford County,Woodford1,IL,70.127,64.303,75.951
Indiana,Indiana1,IL,49.384,48.906,49.862
Adams County,Adams4,IN,50.172,47.285,53.059
Allen County,Allen1,IN,48.651,47.044,50.258
Bartholomew County,Bartholomew1,IN,54.101,50.726,57.476
Benton County,Benton2,IN,46.196,41.647,50.745
Blackford County,Blackford1,IN,39.563,36.061,43.065
Boone County,Boone3,IN,68.352,63.408,73.296
Brown County,Brown2,IN,52.582,47.641,57.523
Carroll County,Carroll4,IN,55.318,51.758,58.878
Cass County,Cass2,IN,44.43,40.664,48.196
Clark County,Clark4,IN,52.05,49.649,54.451
Clay County,Clay6,IN,44.385,40.034,48.736
Clinton County,Clinton2,IN,49.945,45.947,53.943
Crawford County,Crawford4,IN,40.657,37.412,43.902
Daviess County,Daviess1,IN,47.67,44.14,51.2
Dearborn County,Dearborn1,IN,59.28,54.041,64.519
Decatur County,Decatur2,IN,50.258,45.674,54.842
De Kalb County,De Kalb1,IN,51.911,49.614,54.208
Delaware County,Delaware2,IN,39.449,36.898,42
Dubois County,Dubois1,IN,53.211,49.647,56.775
Elkhart County,Elkhart1,IN,50.192,48.036,52.348
Fayette County,Fayette4,IN,40.122,36.324,43.92
Floyd County,Floyd2,IN,53.186,50.411,55.961
Fountain County,Fountain1,IN,45.168,40.907,49.429
Franklin County,Franklin7,IN,54.086,49.318,58.854
Fulton County,Fulton4,IN,44.762,41.863,47.661
Gibson County,Gibson1,IN,46.466,42.451,50.481
Grant County,Grant2,IN,40.234,37.508,42.96
Greene County,Greene5,IN,41.077,37.707,44.447
Hamilton County,Hamilton3,IN,89.861,85.663,94.059
Hancock County,Hancock3,IN,68.334,64.418,72.25
Harrison County,Harrison1,IN,56.787,52.989,60.585
Hendricks County,Hendricks1,IN,70.358,64.698,76.018
Henry County,Henry4,IN,41.955,38.955,44.955
Howard County,Howard2,IN,47.433,43.852,51.014
Huntington County,Huntington1,IN,49.832,46.791,52.873
Jackson County,Jackson7,IN,48.368,44.212,52.524
Jasper County,Jasper3,IN,55.19,50.78,59.6
Jay County,Jay1,IN,38.663,35.895,41.431
Jefferson County,Jefferson8,IN,45.964,42.63,49.298
Jennings County,Jennings1,IN,43.783,39.846,47.72
Johnson County,Johnson4,IN,58.833,54.386,63.28
Knox County,Knox2,IN,44.077,40.696,47.458
Kosciusko County,Kosciusko1,IN,54.068,51.662,56.474
Lagrange County,Lagrange1,IN,52.003,48.868,55.138
Lake County,Lake5,IN,50.774,49.451,52.097
La Porte County,La Porte1,IN,46.243,43.65,48.836
Lawrence County,Lawrence4,IN,45.232,42.007,48.457
Madison County,Madison7,IN,44.73,42.688,46.772
Marion County,Marion6,IN,42.7,41.682,43.718
Marshall County,Marshall3,IN,52.508,48.847,56.169
Martin County,Martin2,IN,48.381,43.328,53.434
Miami County,Miami1,IN,41.065,38.135,43.995
Monroe County,Monroe6,IN,43.841,41.272,46.41
Montgomery County,Montgomery5,IN,46.945,42.604,51.286
Morgan County,Morgan5,IN,54.849,50.763,58.935
Newton County,Newton3,IN,51.285,47.239,55.331
Noble County,Noble1,IN,50.997,46.551,55.443
Ohio County,Ohio1,IN,51.403,46.088,56.718
Orange County,Orange3,IN,39.572,35.725,43.419
Owen County,Owen1,IN,46.001,42.22,49.782
Parke County,Parke1,IN,42.056,37.793,46.319
Perry County,Perry4,IN,44.623,40.92,48.326
Pike County,Pike5,IN,47.217,42.486,51.948
Porter County,Porter1,IN,63.03,59.114,66.946
Posey County,Posey1,IN,59.975,54.485,65.465
Pulaski County,Pulaski4,IN,43.77,39.904,47.636
Putnam County,Putnam4,IN,49.467,45.508,53.426
Randolph County,Randolph5,IN,41.577,37.961,45.193
Ripley County,Ripley1,IN,52.491,48.202,56.78
Rush County,Rush1,IN,47.418,42.371,52.465
St. Joseph County,St. Joseph1,IN,46.388,44.34,48.436
Scott County,Scott3,IN,41.649,37.831,45.467
Shelby County,Shelby3,IN,54.831,51.365,58.297
Spencer County,Spencer1,IN,54.468,49.422,59.514
Starke County,Starke1,IN,43.74,40.815,46.665
Steuben County,Steuben1,IN,50.078,46.851,53.305
Sullivan County,Sullivan1,IN,43.933,39.756,48.11
Switzerland County,Switzerland1,IN,47.606,43.808,51.404
Tippecanoe County,Tippecanoe1,IN,46.276,43.974,48.578
Tipton County,Tipton1,IN,55.008,49.983,60.033
Union County,Union5,IN,47.41,42.643,52.177
Vanderburgh County,Vanderburgh1,IN,42.622,40.688,44.556
Vermillion County,Vermillion1,IN,44.388,41.667,47.109
Vigo County,Vigo1,IN,41.26,39.272,43.248
Wabash County,Wabash2,IN,45.151,41.494,48.808
Warren County,Warren3,IN,55.925,50.482,61.368
Warrick County,Warrick1,IN,65.793,60.456,71.13
Washington County,Washington8,IN,43.573,40.335,46.811
Wayne County,Wayne3,IN,40.929,39.068,42.79
Wells County,Wells1,IN,51.182,47.073,55.291
White County,White4,IN,50.731,47.384,54.078
Whitley County,Whitley1,IN,59.266,56.923,61.609
Iowa,Iowa1,IN,53.816,53.087,54.545
Adair County,Adair1,IA,48.216,44.519,51.913
Adams County,Adams5,IA,51.929,49.405,54.453
Allamakee County,Allamakee1,IA,45.229,41.009,49.449
Appanoose County,Appanoose1,IA,40.422,37.768,43.076
Audubon County,Audubon1,IA,50.014,44.992,55.036
Benton County,Benton3,IA,61.931,57.713,66.149
Black Hawk County,Black Hawk1,IA,51.331,48.926,53.736
Boone County,Boone4,IA,54.186,49.832,58.54
Bremer County,Bremer1,IA,62.438,57.396,67.48
Buchanan County,Buchanan1,IA,55.781,50.642,60.92
Buena Vista County,Buena Vista1,IA,50.719,47.206,54.232
Butler County,Butler2,IA,52.273,47.976,56.57
Calhoun County,Calhoun6,IA,49.456,44.707,54.205
Carroll County,Carroll5,IA,52.367,47.335,57.399
Cass County,Cass3,IA,46.159,42.561,49.757
Cedar County,Cedar1,IA,61.423,57.974,64.872
Cerro Gordo County,Cerro Gordo1,IA,49.569,45.427,53.711
Cherokee County,Cherokee3,IA,52.894,47.745,58.043
Chickasaw County,Chickasaw1,IA,50.788,47.051,54.525
Clarke County,Clarke3,IA,45.413,40.817,50.009
Clay County,Clay7,IA,51.514,46.365,56.663
Clayton County,Clayton2,IA,49.018,45.596,52.44
Clinton County,Clinton3,IA,48.528,44.082,52.974
Crawford County,Crawford5,IA,50.37,47.182,53.558
Dallas County,Dallas3,IA,79.173,73.543,84.803
Davis County,Davis1,IA,46.75,42.603,50.897
Decatur County,Decatur3,IA,36.742,32.902,40.582
Delaware County,Delaware3,IA,55.958,50.285,61.631
Des Moines County,Des Moines1,IA,45.292,41.835,48.749
Dickinson County,Dickinson1,IA,56.551,52.618,60.484
Dubuque County,Dubuque1,IA,55.32,51.847,58.793
Emmet County,Emmet1,IA,47.342,42.691,51.993
Fayette County,Fayette5,IA,45.522,42.384,48.66
Floyd County,Floyd3,IA,48.292,43.306,53.278
Franklin County,Franklin8,IA,51.045,46.508,55.582
Fremont County,Fremont3,IA,54.154,48.876,59.432
Greene County,Greene6,IA,49.125,44.49,53.76
Grundy County,Grundy2,IA,61.215,55.567,66.863
Guthrie County,Guthrie1,IA,49.507,44.957,54.057
Hamilton County,Hamilton4,IA,53.691,50.487,56.895
Hancock County,Hancock4,IA,57.682,53.658,61.706
Hardin County,Hardin2,IA,53.277,49.638,56.916
Harrison County,Harrison2,IA,52.824,48.266,57.382
Henry County,Henry5,IA,50.347,46.117,54.577
Howard County,Howard3,IA,49.837,45.556,54.118
Humboldt County,Humboldt2,IA,49.696,44.672,54.72
Ida County,Ida1,IA,53.905,48.815,58.995
Iowa County,Iowa2,IA,58.234,52.935,63.533
Jackson County,Jackson8,IA,50.299,46.993,53.605
Jasper County,Jasper4,IA,52.75,48.464,57.036
Jefferson County,Jefferson9,IA,41.094,36.776,45.412
Johnson County,Johnson5,IA,59.946,55.972,63.92
Jones County,Jones2,IA,51.558,47.573,55.543
Keokuk County,Keokuk1,IA,48.316,43.514,53.118
Kossuth County,Kossuth1,IA,52.967,47.903,58.031
Lee County,Lee6,IA,44.719,40.825,48.613
Linn County,Linn1,IA,62.7,60.108,65.292
Louisa County,Louisa1,IA,50.924,46.947,54.901
Lucas County,Lucas1,IA,42.582,38.61,46.554
Lyon County,Lyon1,IA,61.75,57.017,66.483
Madison County,Madison8,IA,62.23,57.291,67.169
Mahaska County,Mahaska1,IA,48.584,44.316,52.852
Marion County,Marion7,IA,57.046,52.615,61.477
Marshall County,Marshall4,IA,50.244,47.752,52.736
Mills County,Mills1,IA,59.399,54.7,64.098
Mitchell County,Mitchell2,IA,52.616,47.682,57.55
Monona County,Monona1,IA,43.178,38.99,47.366
Monroe County,Monroe7,IA,44.705,40.715,48.695
Montgomery County,Montgomery6,IA,42.046,37.928,46.164
Muscatine County,Muscatine1,IA,54.441,50.805,58.077
O'Brien County,O'Brien1,IA,55.968,52.137,59.799
Osceola County,Osceola2,IA,51.423,46.116,56.73
Page County,Page1,IA,46.927,42.571,51.283
Palo Alto County,Palo Alto1,IA,50.6,45.601,55.599
Plymouth County,Plymouth1,IA,62.745,56.664,68.826
Pocahontas County,Pocahontas1,IA,49.625,45.131,54.119
Polk County,Polk4,IA,61.028,59.337,62.719
Pottawattamie County,Pottawattamie1,IA,51.947,47.943,55.951
Poweshiek County,Poweshiek1,IA,52.791,47.708,57.874
Ringgold County,Ringgold1,IA,42.854,38.85,46.858
Sac County,Sac1,IA,49.513,47.176,51.85
Scott County,Scott4,IA,54.959,52.796,57.122
Shelby County,Shelby4,IA,55.637,49.922,61.352
Sioux County,Sioux1,IA,60.205,56.981,63.429
Story County,Story1,IA,52.128,47.492,56.764
Tama County,Tama1,IA,54.957,51.909,58.005
Taylor County,Taylor3,IA,46.501,42.228,50.774
Union County,Union6,IA,44.905,41.841,47.969
Van Buren County,Van Buren2,IA,42.555,38.411,46.699
Wapello County,Wapello1,IA,42.414,39.178,45.65
Warren County,Warren4,IA,67.342,62.602,72.082
Washington County,Washington9,IA,56.243,52.392,60.094
Wayne County,Wayne4,IA,42.006,38.169,45.843
Webster County,Webster2,IA,43.49,40.577,46.403
Winnebago County,Winnebago2,IA,50.703,46.152,55.254
Winneshiek County,Winneshiek1,IA,55.984,52.028,59.94
Woodbury County,Woodbury1,IA,45.641,42.823,48.459
Worth County,Worth2,IA,50.286,45.364,55.208
Wright County,Wright1,IA,50.108,44.94,55.276
Kansas,Kansas1,IA,52.392,51.712,53.072
Allen County,Allen2,KS,39.196,35.663,42.729
Anderson County,Anderson1,KS,45.368,40.732,50.004
Atchison County,Atchison1,KS,44.199,39.663,48.735
Barber County,Barber1,KS,51.676,46.516,56.836
Barton County,Barton1,KS,46.942,42.49,51.394
Bourbon County,Bourbon1,KS,38.43,34.538,42.322
Brown County,Brown3,KS,45.781,42.026,49.536
Butler County,Butler3,KS,60.123,55.66,64.586
Chase County,Chase1,KS,47.025,41.986,52.064
Chautauqua County,Chautauqua1,KS,39.12,35.082,43.158
Cherokee County,Cherokee4,KS,40.686,37.99,43.382
Cheyenne County,Cheyenne2,KS,41.797,37.642,45.952
Clark County,Clark5,KS,47.65,42.576,52.724
Clay County,Clay8,KS,53.131,48.918,57.344
Cloud County,Cloud1,KS,42.697,38.794,46.6
Coffey County,Coffey1,KS,55.705,50.037,61.373
Comanche County,Comanche1,KS,45.353,40.654,50.052
Cowley County,Cowley1,KS,45.18,41.483,48.877
Crawford County,Crawford6,KS,38.491,35.365,41.617
Decatur County,Decatur4,KS,41.434,37.167,45.701
Dickinson County,Dickinson2,KS,47.493,43.163,51.823
Doniphan County,Doniphan1,KS,47.599,42.877,52.321
Douglas County,Douglas4,KS,49.246,46.181,52.311
Edwards County,Edwards2,KS,49.256,45.554,52.958
Elk County,Elk1,KS,36.471,32.803,40.139
Ellis County,Ellis1,KS,49.508,44.906,54.11
Ellsworth County,Ellsworth1,KS,46.961,42.209,51.713
Finney County,Finney1,KS,48.609,44.756,52.462
Ford County,Ford2,KS,51.144,46.358,55.93
Franklin County,Franklin9,KS,50.745,47.076,54.414
Geary County,Geary1,KS,41.193,38.359,44.027
Gove County,Gove1,KS,50.886,47.686,54.086
Graham County,Graham2,KS,45.341,40.576,50.106
Grant County,Grant3,KS,60.279,55.456,65.102
Gray County,Gray1,KS,58.543,53.025,64.061
Greeley County,Greeley1,KS,52.795,47.352,58.238
Greenwood County,Greenwood1,KS,39.732,35.766,43.698
Hamilton County,Hamilton5,KS,47.709,42.995,52.423
Harper County,Harper1,KS,50.525,46.734,54.316
Harvey County,Harvey1,KS,55.074,50.212,59.936
Haskell County,Haskell1,KS,59.596,54.017,65.175
Hodgeman County,Hodgeman1,KS,52.394,47.098,57.69
Jackson County,Jackson9,KS,53.796,49.175,58.417
Jefferson County,Jefferson10,KS,56.927,52.98,60.874
Jewell County,Jewell1,KS,44.101,39.911,48.291
Johnson County,Johnson6,KS,76.104,73.905,78.303
Kearny County,Kearny1,KS,53.484,48.498,58.47
Kingman County,Kingman1,KS,53.378,48.508,58.248
Kiowa County,Kiowa2,KS,46.318,41.773,50.863
Labette County,Labette1,KS,40.822,37.782,43.862
Lane County,Lane1,KS,53.739,47.997,59.481
Leavenworth County,Leavenworth1,KS,65.549,61.607,69.491
Lincoln County,Lincoln5,KS,44.896,40.379,49.413
Linn County,Linn2,KS,44.52,39.901,49.139
Logan County,Logan4,KS,49.852,44.586,55.118
Lyon County,Lyon2,KS,43.038,40.201,45.875
McPherson County,McPherson1,KS,57.878,53.577,62.179
Marion County,Marion8,KS,47.723,43.195,52.251
Marshall County,Marshall5,KS,47.901,43.386,52.416
Meade County,Meade1,KS,53.903,48.125,59.681
Miami County,Miami2,KS,63.924,59.02,68.828
Mitchell County,Mitchell3,KS,48.645,43.481,53.809
Montgomery County,Montgomery7,KS,42.221,39.295,45.147
Morris County,Morris1,KS,44.774,40.34,49.208
Morton County,Morton1,KS,55.378,49.473,61.283
Nemaha County,Nemaha1,KS,54.149,49.133,59.165
Neosho County,Neosho1,KS,41.527,38.49,44.564
Ness County,Ness1,KS,51.923,46.581,57.265
Norton County,Norton1,KS,44.846,40.404,49.288
Osage County,Osage1,KS,52.749,49.794,55.704
Osborne County,Osborne1,KS,38.848,35.791,41.905
Ottawa County,Ottawa1,KS,52.744,47.518,57.97
Pawnee County,Pawnee1,KS,47.351,42.297,52.405
Phillips County,Phillips3,KS,45.856,41.534,50.178
Pottawatomie County,Pottawatomie1,KS,65.373,62.649,68.097
Pratt County,Pratt1,KS,54.701,49.886,59.516
Rawlins County,Rawlins1,KS,44.932,40.398,49.466
Reno County,Reno1,KS,46.533,43.389,49.677
Republic County,Republic1,KS,42.381,38.071,46.691
Rice County,Rice1,KS,49.152,44.25,54.054
Riley County,Riley1,KS,46.468,42.736,50.2
Rooks County,Rooks1,KS,48.383,45.192,51.574
Rush County,Rush2,KS,43.083,38.745,47.421
Russell County,Russell2,KS,45.443,41.923,48.963
Saline County,Saline3,KS,48.46,46.508,50.412
Scott County,Scott5,KS,56.032,50.226,61.838
Sedgwick County,Sedgwick2,KS,51.175,49.544,52.806
Seward County,Seward1,KS,47.381,43.424,51.338
Shawnee County,Shawnee1,KS,52.795,49.968,55.622
Sheridan County,Sheridan1,KS,52.3,47.158,57.442
Sherman County,Sherman1,KS,43.1,38.77,47.43
Smith County,Smith1,KS,41.303,37.287,45.319
Stafford County,Stafford1,KS,45.945,41.525,50.365
Stanton County,Stanton1,KS,56.591,50.49,62.692
Stevens County,Stevens1,KS,59.773,53.657,65.889
Sumner County,Sumner1,KS,52.476,47.869,57.083
Thomas County,Thomas2,KS,50.639,45.268,56.01
Trego County,Trego1,KS,46.859,42.384,51.334
Wabaunsee County,Wabaunsee1,KS,59.16,53.368,64.952
Wallace County,Wallace1,KS,49.109,43.849,54.369
Washington County,Washington10,KS,43.264,39.94,46.588
Wichita County,Wichita1,KS,53.447,47.744,59.15
Wilson County,Wilson1,KS,39.764,36.022,43.506
Woodson County,Woodson1,KS,35.502,31.865,39.139
Wyandotte County,Wyandotte1,KS,37.087,35.495,38.679
